我 我们 你 你们
我 我们 他 他们
我 我们 她 她们
你 你们 他 他们
你 你们 她 她们
他 他们 她 她们
这 这里 那 那里
这 这里 哪 哪里
那 那里 哪 哪里
这 这些 那 那些
这 这些 哪 哪些
那 那些 哪 哪些
这 这样 那 那样
这 这样 哪 哪样
那 那样 哪 哪样
这 这个 那 那个
这 这个 哪 哪个
那 那个 哪 哪个
这 这边 那 那边
这 这边 哪 哪边
那 那边 哪 哪边
这 这种 那 那种
这 这种 哪 哪种
那 那种 哪 哪种
这 这次 那 那次
这 这次 哪 哪次
那 那次 哪 哪次
这 这儿 那 那儿
这 这儿 哪 哪儿
那 那儿 哪 哪儿
东 东部 西 西部
东 东部 南 南部
东 东部 北 北部
西 西部 南 南部
西 西部 北 北部
南 南部 北 北部
心 心中 脑 脑中
山 山上 天 天上
山 山上 树 树上
山 山上 桌 桌上
山 山上 楼 楼上
山 山上 墙 墙上
天 天上 树 树上
天 天上 桌 桌上
天 天上 楼 楼上
天 天上 墙 墙上
树 树上 桌 桌上
树 树上 楼 楼上
树 树上 墙 墙上
桌 桌上 楼 楼上
桌 桌上 墙 墙上
楼 楼上 墙 墙上
前 前面 后 后面
前 前面 里 里面
前 前面 外 外面
前 前面 上 上面
前 前面 下 下面
后 后面 里 里面
后 后面 外 外面
后 后面 上 上面
后 后面 下 下面
里 里面 外 外面
里 里面 上 上面
里 里面 下 下面
外 外面 上 上面
外 外面 下 下面
上 上面 下 下面
前 前边 后 后边
前 前边 里 里边
前 前边 外 外边
前 前边 左 左边
前 前边 右 右边
前 前边 上 上边
前 前边 下 下边
后 后边 里 里边
后 后边 外 外边
后 后边 左 左边
后 后边 右 右边
后 后边 上 上边
后 后边 下 下边
里 里边 外 外边
里 里边 左 左边
里 里边 右 右边
里 里边 上 上边
里 里边 下 下边
外 外边 左 左边
外 外边 右 右边
外 外边 上 上边
外 外边 下 下边
左 左边 右 右边
左 左边 上 上边
左 左边 下 下边
右 右边 上 上边
右 右边 下 下边
上 上边 下 下边
建设 建设者 生产 生产者
建设 建设者 组织 组织者
建设 建设者 领导 领导者
建设 建设者 管理 管理者
建设 建设者 支持 支持者
建设 建设者 反对 反对者
建设 建设者 劳动 劳动者
建设 建设者 投资 投资者
建设 建设者 获得 获得者
建设 建设者 创造 创造者
建设 建设者 侵略 侵略者
建设 建设者 执行 执行者
建设 建设者 经营 经营者
建设 建设者 消费 消费者
建设 建设者 参与 参与者
建设 建设者 破坏 破坏者
建设 建设者 制造 制造者
建设 建设者 创作 创作者
建设 建设者 参观 参观者
建设 建设者 挑战 挑战者
建设 建设者 竞争 竞争者
建设 建设者 统治 统治者
建设 建设者 执法 执法者
建设 建设者 传播 传播者
建设 建设者 占领 占领者
建设 建设者 继承 继承者
建设 建设者 主办 主办者
建设 建设者 受益 受益者
建设 建设者 获奖 获奖者
建设 建设者 同盟 同盟者
建设 建设者 受害 受害者
建设 建设者 遇难 遇难者
建设 建设者 求职 求职者
建设 建设者 幸存 幸存者
生产 生产者 组织 组织者
生产 生产者 领导 领导者
生产 生产者 管理 管理者
生产 生产者 支持 支持者
生产 生产者 反对 反对者
生产 生产者 劳动 劳动者
生产 生产者 投资 投资者
生产 生产者 获得 获得者
生产 生产者 创造 创造者
生产 生产者 侵略 侵略者
生产 生产者 执行 执行者
生产 生产者 经营 经营者
生产 生产者 消费 消费者
生产 生产者 参与 参与者
生产 生产者 破坏 破坏者
生产 生产者 制造 制造者
生产 生产者 创作 创作者
生产 生产者 参观 参观者
生产 生产者 挑战 挑战者
生产 生产者 竞争 竞争者
生产 生产者 统治 统治者
生产 生产者 执法 执法者
生产 生产者 传播 传播者
生产 生产者 占领 占领者
生产 生产者 继承 继承者
生产 生产者 主办 主办者
生产 生产者 受益 受益者
生产 生产者 获奖 获奖者
生产 生产者 同盟 同盟者
生产 生产者 受害 受害者
生产 生产者 遇难 遇难者
生产 生产者 求职 求职者
生产 生产者 幸存 幸存者
组织 组织者 领导 领导者
组织 组织者 管理 管理者
组织 组织者 支持 支持者
组织 组织者 反对 反对者
组织 组织者 劳动 劳动者
组织 组织者 投资 投资者
组织 组织者 获得 获得者
组织 组织者 创造 创造者
组织 组织者 侵略 侵略者
组织 组织者 执行 执行者
组织 组织者 经营 经营者
组织 组织者 消费 消费者
组织 组织者 参与 参与者
组织 组织者 破坏 破坏者
组织 组织者 制造 制造者
组织 组织者 创作 创作者
组织 组织者 参观 参观者
组织 组织者 挑战 挑战者
组织 组织者 竞争 竞争者
组织 组织者 统治 统治者
组织 组织者 执法 执法者
组织 组织者 传播 传播者
组织 组织者 占领 占领者
组织 组织者 继承 继承者
组织 组织者 主办 主办者
组织 组织者 受益 受益者
组织 组织者 获奖 获奖者
组织 组织者 同盟 同盟者
组织 组织者 受害 受害者
组织 组织者 遇难 遇难者
组织 组织者 求职 求职者
组织 组织者 幸存 幸存者
领导 领导者 管理 管理者
领导 领导者 支持 支持者
领导 领导者 反对 反对者
领导 领导者 劳动 劳动者
领导 领导者 投资 投资者
领导 领导者 获得 获得者
领导 领导者 创造 创造者
领导 领导者 侵略 侵略者
领导 领导者 执行 执行者
领导 领导者 经营 经营者
领导 领导者 消费 消费者
领导 领导者 参与 参与者
领导 领导者 破坏 破坏者
领导 领导者 制造 制造者
领导 领导者 创作 创作者
领导 领导者 参观 参观者
领导 领导者 挑战 挑战者
领导 领导者 竞争 竞争者
领导 领导者 统治 统治者
领导 领导者 执法 执法者
领导 领导者 传播 传播者
领导 领导者 占领 占领者
领导 领导者 继承 继承者
领导 领导者 主办 主办者
领导 领导者 受益 受益者
领导 领导者 获奖 获奖者
领导 领导者 同盟 同盟者
领导 领导者 受害 受害者
领导 领导者 遇难 遇难者
领导 领导者 求职 求职者
领导 领导者 幸存 幸存者
管理 管理者 支持 支持者
管理 管理者 反对 反对者
管理 管理者 劳动 劳动者
管理 管理者 投资 投资者
管理 管理者 获得 获得者
管理 管理者 创造 创造者
管理 管理者 侵略 侵略者
管理 管理者 执行 执行者
管理 管理者 经营 经营者
管理 管理者 消费 消费者
管理 管理者 参与 参与者
管理 管理者 破坏 破坏者
管理 管理者 制造 制造者
管理 管理者 创作 创作者
管理 管理者 参观 参观者
管理 管理者 挑战 挑战者
管理 管理者 竞争 竞争者
管理 管理者 统治 统治者
管理 管理者 执法 执法者
管理 管理者 传播 传播者
管理 管理者 占领 占领者
管理 管理者 继承 继承者
管理 管理者 主办 主办者
管理 管理者 受益 受益者
管理 管理者 获奖 获奖者
管理 管理者 同盟 同盟者
管理 管理者 受害 受害者
管理 管理者 遇难 遇难者
管理 管理者 求职 求职者
管理 管理者 幸存 幸存者
支持 支持者 反对 反对者
支持 支持者 劳动 劳动者
支持 支持者 投资 投资者
支持 支持者 获得 获得者
支持 支持者 创造 创造者
支持 支持者 侵略 侵略者
支持 支持者 执行 执行者
支持 支持者 经营 经营者
支持 支持者 消费 消费者
支持 支持者 参与 参与者
支持 支持者 破坏 破坏者
支持 支持者 制造 制造者
支持 支持者 创作 创作者
支持 支持者 参观 参观者
支持 支持者 挑战 挑战者
支持 支持者 竞争 竞争者
支持 支持者 统治 统治者
支持 支持者 执法 执法者
支持 支持者 传播 传播者
支持 支持者 占领 占领者
支持 支持者 继承 继承者
支持 支持者 主办 主办者
支持 支持者 受益 受益者
支持 支持者 获奖 获奖者
支持 支持者 同盟 同盟者
支持 支持者 受害 受害者
支持 支持者 遇难 遇难者
支持 支持者 求职 求职者
支持 支持者 幸存 幸存者
反对 反对者 劳动 劳动者
反对 反对者 投资 投资者
反对 反对者 获得 获得者
反对 反对者 创造 创造者
反对 反对者 侵略 侵略者
反对 反对者 执行 执行者
反对 反对者 经营 经营者
反对 反对者 消费 消费者
反对 反对者 参与 参与者
反对 反对者 破坏 破坏者
反对 反对者 制造 制造者
反对 反对者 创作 创作者
反对 反对者 参观 参观者
反对 反对者 挑战 挑战者
反对 反对者 竞争 竞争者
反对 反对者 统治 统治者
反对 反对者 执法 执法者
反对 反对者 传播 传播者
反对 反对者 占领 占领者
反对 反对者 继承 继承者
反对 反对者 主办 主办者
反对 反对者 受益 受益者
反对 反对者 获奖 获奖者
反对 反对者 同盟 同盟者
反对 反对者 受害 受害者
反对 反对者 遇难 遇难者
反对 反对者 求职 求职者
反对 反对者 幸存 幸存者
劳动 劳动者 投资 投资者
劳动 劳动者 获得 获得者
劳动 劳动者 创造 创造者
劳动 劳动者 侵略 侵略者
劳动 劳动者 执行 执行者
劳动 劳动者 经营 经营者
劳动 劳动者 消费 消费者
劳动 劳动者 参与 参与者
劳动 劳动者 破坏 破坏者
劳动 劳动者 制造 制造者
劳动 劳动者 创作 创作者
劳动 劳动者 参观 参观者
