秦 嬴政 汉 刘邦
秦 嬴政 魏 曹丕
秦 嬴政 蜀 刘备
秦 嬴政 吴 孙权
秦 嬴政 晋 司马炎
秦 嬴政 隋 杨坚
秦 嬴政 唐 李渊
秦 嬴政 辽 耶律阿保机
秦 嬴政 宋 赵匡胤
秦 嬴政 金 完颜旻
秦 嬴政 元 铁木真
秦 嬴政 明 朱元璋
秦 嬴政 清 努尔哈赤
汉 刘邦 魏 曹丕
汉 刘邦 蜀 刘备
汉 刘邦 吴 孙权
汉 刘邦 晋 司马炎
汉 刘邦 隋 杨坚
汉 刘邦 唐 李渊
汉 刘邦 辽 耶律阿保机
汉 刘邦 宋 赵匡胤
汉 刘邦 金 完颜旻
汉 刘邦 元 铁木真
汉 刘邦 明 朱元璋
汉 刘邦 清 努尔哈赤
魏 曹丕 蜀 刘备
魏 曹丕 吴 孙权
魏 曹丕 晋 司马炎
魏 曹丕 隋 杨坚
魏 曹丕 唐 李渊
魏 曹丕 辽 耶律阿保机
魏 曹丕 宋 赵匡胤
魏 曹丕 金 完颜旻
魏 曹丕 元 铁木真
魏 曹丕 明 朱元璋
魏 曹丕 清 努尔哈赤
蜀 刘备 吴 孙权
蜀 刘备 晋 司马炎
蜀 刘备 隋 杨坚
蜀 刘备 唐 李渊
蜀 刘备 辽 耶律阿保机
蜀 刘备 宋 赵匡胤
蜀 刘备 金 完颜旻
蜀 刘备 元 铁木真
蜀 刘备 明 朱元璋
蜀 刘备 清 努尔哈赤
吴 孙权 晋 司马炎
吴 孙权 隋 杨坚
吴 孙权 唐 李渊
吴 孙权 辽 耶律阿保机
吴 孙权 宋 赵匡胤
吴 孙权 金 完颜旻
吴 孙权 元 铁木真
吴 孙权 明 朱元璋
吴 孙权 清 努尔哈赤
晋 司马炎 隋 杨坚
晋 司马炎 唐 李渊
晋 司马炎 辽 耶律阿保机
晋 司马炎 宋 赵匡胤
晋 司马炎 金 完颜旻
晋 司马炎 元 铁木真
晋 司马炎 明 朱元璋
晋 司马炎 清 努尔哈赤
隋 杨坚 唐 李渊
隋 杨坚 辽 耶律阿保机
隋 杨坚 宋 赵匡胤
隋 杨坚 金 完颜旻
隋 杨坚 元 铁木真
隋 杨坚 明 朱元璋
隋 杨坚 清 努尔哈赤
唐 李渊 辽 耶律阿保机
唐 李渊 宋 赵匡胤
唐 李渊 金 完颜旻
唐 李渊 元 铁木真
唐 李渊 明 朱元璋
唐 李渊 清 努尔哈赤
辽 耶律阿保机 宋 赵匡胤
辽 耶律阿保机 金 完颜旻
辽 耶律阿保机 元 铁木真
辽 耶律阿保机 明 朱元璋
辽 耶律阿保机 清 努尔哈赤
宋 赵匡胤 金 完颜旻
宋 赵匡胤 元 铁木真
宋 赵匡胤 明 朱元璋
宋 赵匡胤 清 努尔哈赤
金 完颜旻 元 铁木真
金 完颜旻 明 朱元璋
金 完颜旻 清 努尔哈赤
元 铁木真 明 朱元璋
元 铁木真 清 努尔哈赤
明 朱元璋 清 努尔哈赤
夏 阳城 西周 镐京
夏 阳城 秦 咸阳
夏 阳城 西汉 长安
夏 阳城 东汉 洛阳
夏 阳城 西晋 洛阳
夏 阳城 东晋 建康
夏 阳城 隋 大兴
夏 阳城 唐 长安
夏 阳城 北宋 东京
夏 阳城 南宋 临安
夏 阳城 元 大都
西周 镐京 秦 咸阳
西周 镐京 西汉 长安
西周 镐京 东汉 洛阳
西周 镐京 西晋 洛阳
西周 镐京 东晋 建康
西周 镐京 隋 大兴
西周 镐京 唐 长安
西周 镐京 北宋 东京
西周 镐京 南宋 临安
西周 镐京 元 大都
秦 咸阳 西汉 长安
秦 咸阳 东汉 洛阳
秦 咸阳 西晋 洛阳
秦 咸阳 东晋 建康
秦 咸阳 隋 大兴
秦 咸阳 唐 长安
秦 咸阳 北宋 东京
秦 咸阳 南宋 临安
秦 咸阳 元 大都
西汉 长安 东汉 洛阳
西汉 长安 西晋 洛阳
西汉 长安 东晋 建康
西汉 长安 隋 大兴
西汉 长安 唐 长安
西汉 长安 北宋 东京
西汉 长安 南宋 临安
西汉 长安 元 大都
东汉 洛阳 西晋 洛阳
东汉 洛阳 东晋 建康
东汉 洛阳 隋 大兴
东汉 洛阳 唐 长安
东汉 洛阳 北宋 东京
东汉 洛阳 南宋 临安
东汉 洛阳 元 大都
西晋 洛阳 东晋 建康
西晋 洛阳 隋 大兴
西晋 洛阳 唐 长安
西晋 洛阳 北宋 东京
西晋 洛阳 南宋 临安
西晋 洛阳 元 大都
东晋 建康 隋 大兴
东晋 建康 唐 长安
东晋 建康 北宋 东京
东晋 建康 南宋 临安
东晋 建康 元 大都
隋 大兴 唐 长安
隋 大兴 北宋 东京
隋 大兴 南宋 临安
隋 大兴 元 大都
唐 长安 北宋 东京
唐 长安 南宋 临安
唐 长安 元 大都
北宋 东京 南宋 临安
北宋 东京 元 大都
南宋 临安 元 大都
汉高祖 刘邦 汉文帝 刘恒
汉高祖 刘邦 汉景帝 刘启
汉高祖 刘邦 汉武帝 刘彻
汉高祖 刘邦 汉昭帝 刘弗
汉高祖 刘邦 汉宣帝 刘询
